
sub_003, 2609, Pulling forward into perpenedicular                  
sub_003, 2614, Parallel parking                  
sub_003, 2616, Pulling forward into perpenedicular                  
sub_003, 2617, Pulling forward into perpenedicular                  
sub_003, 2618, Pulling forward into perpenedicular                  
sub_003, 2621, Pulling forward into perpenedicular                  
sub_003, 2627, Pulling forward into perpenedicular                  
sub_003, 2629, Pulling forward into angled                  
sub_003, 2635, Pulling forward into perpenedicular                  
sub_003, 2640, Pulling forward into perpenedicular                  
sub_003, 2644, Parallel parking                  
sub_003, 2654, Pulling forward into perpenedicular                  
sub_003, 2655, Pulling forward into perpenedicular                  
sub_003, 2656, Pulling forward into perpenedicular                  
sub_003, 2657, Pulling forward into angled                  
sub_003, 2658, Pulling forward into perpenedicular                  
sub_003, 2672, Pulling forward into perpenedicular                  
sub_003, 2682, Pulling forward into perpenedicular                  
sub_003, 2684, nan                  
sub_003, 2705                  
sub_003, 2706, nan                  
sub_003, 2712, Pulling forward into perpenedicular                  
sub_003, 2713, Pulling forward into perpenedicular                  
sub_003, 2714, Pulling forward into perpenedicular                  
sub_003, 2715, Pulling forward into perpenedicular, Pulling forward into perpenedicular                  
sub_003, 2718, Pulling forward into perpenedicular                  
sub_003, 2756, Pulling forward into angled                  
sub_003, 2762, Pulling forward into perpenedicular                  
sub_003, 2763, Pulling forward into perpenedicular                  
sub_003, 2766, Pulling forward into perpenedicular                  
sub_003, 2773, Pulling forward into perpenedicular                  
sub_003, 2774, Pulling forward into perpenedicular                  
sub_003, 2777, Pulling forward into perpenedicular                  
sub_003, 2778, Parallel parking                  
sub_003, 2779, Pulling forward into angled                  
sub_003, 2784, Pulling forward into perpenedicular                  
sub_003, 2789, Pulling forward into perpenedicular                  
sub_003, 2790, Parallel parking                  
sub_003, 2792, Pulling forward into perpenedicular                  
sub_003, 2793, Pulling forward into angled                  
sub_003, 2794, Pulling forward into perpenedicular                  
sub_003, 2828, Parallel parking                  
sub_003, 2829, Pulling forward into perpenedicular                  
sub_003, 2843, Pulling forward into perpenedicular                  
sub_003, 2844, Pulling forward into perpenedicular                  
sub_003, 2845, Pulling forward into perpenedicular                  
sub_003, 2846, Pulling forward into perpenedicular                  
sub_003, 2850, Pulling forward into perpenedicular                  
sub_003, 2853, Parallel parking                  
sub_003, 2854, Pulling forward into angled                  
sub_003, 2855, Pulling forward into perpenedicular                  
sub_003, 2857, Pulling forward into perpenedicular                  
sub_003, 2858                  
sub_003, 2951, Pulling forward into perpenedicular                  
sub_003, 2956, Parallel parking                  
sub_003, 2958                  
sub_003, 2967, Pulling forward into perpenedicular                  
sub_003, 2970, Pulling forward into perpenedicular                  
sub_003, 2981, Pulling forward into perpenedicular                  
sub_003, 2982, Pulling forward into perpenedicular                  
sub_003, 2992, Pulling forward into angled                  
sub_003, 2999, Pulling forward into angled                  
sub_003, 3000, Pulling forward into angled                  
sub_003, 3003, Pulling forward into perpenedicular                  
sub_003, 3005, Pulling forward into perpenedicular                  
sub_003, 3006, Pulling forward into perpenedicular                  
sub_003, 3021, Pulling forward into angled                  
sub_003, 3026                  
sub_003, 3027, Pulling forward into angled                  
sub_003, 3028, Pulling forward into angled                  
sub_003, 3029, Pulling forward into perpenedicular                  
sub_003, 3031, Pulling forward into perpenedicular                  
sub_003, 3040, nan                  
sub_003, 3042, Pulling forward into perpenedicular                  
sub_003, 3052, Parallel parking                  
sub_003, 3055, Parallel parking                  
sub_003, 3057, Pulling forward into perpenedicular                  
sub_003, 3067                  
sub_003, 3068, Pulling forward into perpenedicular                  
sub_003, 3080                  
sub_004, 4876, Pulling forward into perpenedicular                  
sub_004, 4881, Pulling forward into perpenedicular                  
sub_004, 4884, Pulling forward into angled                  
sub_004, 4890, Pulling forward into perpenedicular                  
sub_004, 4897, Pulling forward into perpenedicular                  
sub_004, 4898, Pulling forward into perpenedicular                  
sub_004, 4917, Pulling forward into perpenedicular                  
sub_004, 5127                  
sub_004, 5131, Pulling forward into perpenedicular                  
sub_004, 5132, Pulling forward into perpenedicular                  
sub_004, 5137, Pulling forward into perpenedicular                  
sub_004, 5143, Pulling forward into perpenedicular, Pulling forward into perpenedicular                  
sub_004, 5144, Pulling forward into perpenedicular                  
sub_004, 5147                  
sub_004, 5148, Parallel parking                  
sub_004, 5165, nan                  
sub_004, 5168, Pulling forward into perpenedicular                  
sub_004, 5173, Pulling forward into angled                  
sub_004, 5175, Pulling forward into perpenedicular                  
sub_004, 5181, Pulling forward into angled, Pulling forward into angled                  
sub_004, 5182, Pulling forward into perpenedicular                  
sub_004, 5186, Pulling forward into angled                  
sub_004, 5188, Parallel parking                  
sub_004, 5189, Pulling forward into perpenedicular                  
sub_004, 5191, Pulling forward into perpenedicular                  
sub_004, 5193, nan                  
sub_004, 5200, Backing into perpendicular                  
sub_004, 5201, Pulling forward into perpenedicular                  
sub_004, 5202, Pulling forward into perpenedicular                  
sub_004, 5203, Pulling forward into perpenedicular                  
sub_004, 5208, Pulling forward into perpenedicular, Pulling forward into perpenedicular                  
sub_004, 5210, Pulling forward into perpenedicular, Pulling forward into perpenedicular                  
sub_004, 5211, Pulling forward into perpenedicular                  
sub_004, 5212, Pulling forward into perpenedicular                  
sub_004, 5214, nan                  
sub_004, 5215, Pulling forward into perpenedicular                  
sub_004, 5342, Pulling forward into perpenedicular                  
sub_004, 5344, Pulling forward into perpenedicular                  
sub_004, 5354, Pulling forward into perpenedicular                  
sub_004, 5356, Pulling forward into perpenedicular                  
sub_004, 5359, Pulling forward into perpenedicular                  
sub_004, 5361, Pulling forward into perpenedicular                  
sub_004, 5370, Parallel parking                  
sub_004, 5373, Parallel parking                  
sub_004, 5376, Pulling forward into perpenedicular                  
sub_004, 5378, Pulling forward into perpenedicular                  
sub_004, 5391, Pulling forward into perpenedicular                  
